id,name,region,sport,sport_id,region_id
10465,World Cup Qualification - Europe,International,Basketball,2,490
10470,Champions League Americas,International,Basketball,2,490
12103,FIBA World Cup,International,Basketball,2,490
10505,Liga ACB,Spain,Basketball,2,532
11556,NCAA Division I National Championship - Women,USA,Basketball,2,543
11854,U19 World Championship Women,International,Basketball,2,490
10502,Extraliga - Women,Slovakia,Basketball,2,529
10442,BBL-Pokal,Germany,Basketball,2,479
10475,A1 Women,Italy,Basketball,2,494
11613,SuperLiga,Venezuela,Basketball,2,544
10477,Serie A2,Italy,Basketball,2,494
10459,Intercontinental Cup,International,Basketball,2,490
10420,SBL,Chinese Taipei,Basketball,2,549
10422,Premijer liga,Croatia,Basketball,2,467
10432,Korisliiga,Finland,Basketball,2,476
10476,Final Eight,Italy,Basketball,2,494
11110,NBA Rising Stars,USA,Basketball,2,543
10893,Greece Cup,Greece,Basketball,2,482
10997,Cupa Romaniei       ,Romania,Basketball,2,522
10484,NKL,Lithuania,Basketball,2,550
11019,Cesky Pohar,Czech Republic,Basketball,2,469
10490,PLKK,Poland,Basketball,2,518
10405,NBL,Australia,Basketball,2,448
10482,First Division,Lebanon,Basketball,2,501
10406,NBL1 - Central,Australia,Basketball,2,448
10423,A1 Liga Women,Croatia,Basketball,2,467
10512,Super Lig,Turkiye,Basketball,2,538
11171,CBA,China,Basketball,2,548
11013,State Cup,Israel,Basketball,2,493
10447,NB I. A,Hungary,Basketball,2,486
10501,Extraliga,Slovakia,Basketball,2,529
10519,NBA,USA,Basketball,2,543
11400,Big V,Australia,Basketball,2,448
10487,BLNO,Norway,Basketball,2,511
11559,College Basketball Invitational,USA,Basketball,2,543
10481,W League,Japan,Basketball,2,497
10466,World Cup Qualification - Africa,International,Basketball,2,490
10517,FBU Superleague,Ukraine,Basketball,2,540
11688,1 Division,Finland,Basketball,2,476
10515,1. Lig,Turkiye,Basketball,2,538
10440,BBL,Germany,Basketball,2,479
11366,NBL1 Central - Women,Australia,Basketball,2,448
10504,1. A SKL,Slovenia,Basketball,2,530
10452,Euroleague,International,Basketball,2,490
10467,World Cup Qualification - Americas,International,Basketball,2,490
10439,Coupe de France - Women,France,Basketball,2,477
10433,Korisliiga - Women,Finland,Basketball,2,476
10444,A1,Greece,Basketball,2,482
10427,1. Liga,Czech Republic,Basketball,2,469
11498,Int. Friendly Games,International,Basketball,2,490
10496,Liga Nationala,Romania,Basketball,2,522
10499,KLS,Serbia,Basketball,2,528
10914,Eurocup - Women,International,Basketball,2,490
11218,Americup Qualification,International,Basketball,2,490
10485,BNXT Dutch League,Netherlands,Basketball,2,506
10435,Leaders Cup LNB,France,Basketball,2,477
10478,Serie B,Italy,Basketball,2,494
10451,IBL,Indonesia,Basketball,2,489
10410,NBL1 - East,Australia,Basketball,2,448
11369,NBL1 South - Women,Australia,Basketball,2,448
10518,LUB,Uruguay,Basketball,2,542
10428,ZBL,Czech Republic,Basketball,2,469
11553,NCAA Division I National Championship,USA,Basketball,2,543
11106,Basketball Africa League,International,Basketball,2,490
10474,Serie A,Italy,Basketball,2,494
10486,NBL,New Zealand,Basketball,2,551
10479,B.League,Japan,Basketball,2,497
11414,Magyar Kupa,Hungary,Basketball,2,486
10498,Premier League Women,Russia,Basketball,2,523
10948,Top Division 1,Belgium,Basketball,2,454
10495,WKBL,Republic of Korea,Basketball,2,521
11028,International Friendly Games - Women,International,Basketball,2,490
10436,Pro B,France,Basketball,2,477
10450,Urvalsdeild,Iceland,Basketball,2,487
10483,LKL,Lithuania,Basketball,2,550
10907,Cup,Lithuania,Basketball,2,550
10492,Cup,Poland,Basketball,2,518
11499,NCAA Division II National Championship,USA,Basketball,2,543
10445,A1 - Women,Greece,Basketball,2,482
10455,European Championship Qualification,International,Basketball,2,490
11855,KML,Estonia,Basketball,2,475
10513,Türkiye Kupasi,Turkiye,Basketball,2,538
11558,National Invitation Tournament,USA,Basketball,2,543
11200,BNXT League,International,Basketball,2,490
10463,Europe Cup,International,Basketball,2,490
10462,Alpe Adria Cup,International,Basketball,2,490
11506,Zweite Liga,Austria,Basketball,2,449
10473,National League,Israel,Basketball,2,493
10510,SBL - Women,Sweden,Basketball,2,533
10491,1 Liga,Poland,Basketball,2,518
10458,United League,International,Basketball,2,490
10446,Elite League,Greece,Basketball,2,482
11109,Big V - Women,Australia,Basketball,2,448
10404,WNBL,Australia,Basketball,2,448
11495,WBL - Women,Israel,Basketball,2,493
10516,TB2L,Turkiye,Basketball,2,538
10434,Pro A,France,Basketball,2,477
10493,LPB,Portugal,Basketball,2,519
10480,B2.League,Japan,Basketball,2,497
