World Cup Qualification - Europe,Γουόρλντ Καπ Κουαλιφικέισιον - Ευρώπη,ورلد کاپ کوالیفیشن - یورپ
Champions League Americas,Χάμπιονς Λιγκ Αμερικάς,چمپیونز لیگ امریکاس
FIBA World Cup,ΦΙΜΠΑ Γουόρλντ Καπ,فی‌بی‌ای ورلد کاپ
Liga ACB,Λίγκα ΑΚΜ,لیگ ای‌سی‌بی
NCAA Division I National Championship - Women,ΝΤΤΑ Ντιβισιόν I Νατιόναλ Τσάμπιον - Γυναίκες,ان‌سی‌ای‌ای دیویشن یک نشنشنشب‌شن - ویمن
U19 World Championship Women,U19 Γουόρλντ Καπ Γυναίκες,یون۱۹ ورلد کاپ ویمن
Extraliga - Women,Εξτραλίγκα - Γυναίκες,اکسترالیگا - ویمن
BBL-Pokal,ΜΠΜΠ-Ποκάλ,بی‌بی‌ال پوکال
A1 Women,Α1 Γυναίκες,ای‌۱ ویمن
SuperLiga,ΣουπερΛίγκα,سوپرلیگا
Serie A2,Σερι Α2,سریئ ای2
Intercontinental Cup,Ίντερκοντινενταλ Καπ,کشف جهانی
SBL,ΣΒΛ,اس بی ال
Premijer liga,Πρεμιζερ Λίγα,پریمیر لیگا
Korisliiga,Κορισλιίγκα,کوریسلیگا
Final Eight,Φινάλ Ειτ,هشت نهایی
NBA Rising Stars,ΝΒΑ Ράιζινγ Σταρς,نیویورک نیتز نئوس ستارز
Greece Cup,Κύπη Ελλάδας,کپ یونان
Cupa Romaniei       ,Κουπά Ρομανίας,کوپا رومانی
NKL,ΝΚΛ,ان کی ال
Cesky Pohar,Τσέσκυ Ποχάρ,چسکی پوهار
PLKK,ΠΛΚΚ,پی ال کای
NBL,ΝΜΛ,ان بی ال
First Division,Πρώτη Διαίρεση,فرست دیویشن
NBL1 - Central,ΝΜΛ1 - Κεντρική,ان بی ال ۱ - سنترال
A1 Liga Women,Α1 Λίγκα Γυναικών,آ ۱ لیگ ویمن
Super Lig,Σούπερ Λίγκ,سوپر لیگ
CBA,ΚΜΠ,سی بی ای
State Cup,Κυπέλλο Κρατικής,استیت کاپ
NB I. A,ΝΜ Ι. Α,ان بی ای ای ای
Extraliga,Εξτράλιγκα,اکسترالیگا
NBA,Εν Βι Α,ان‌بی‌ای
Big V,Μπιγκ Βι,بیگ وی
BLNO,Μπι Ελ Εν Ου,بی‌ال‌ان‌او
College Basketball Invitational,Κολετζ Μπάσκετ Ινβιτατιοναλ,کالج بسکتبال اینویشنال
W League,ΔΥ Λιγκ,دوره وال
World Cup Qualification - Africa,Παγκόσμια Κύπελλο Προκρίσεων - Αφρική,کشوری برای جام جهانی - افریقا
FBU Superleague,ΦΒΥ Σουπερλιγκ,اف‌بی‌یو سوپرلیگ
1 Division,1η Διοικητική,دسته یک
1. Lig,1η Λιγκ,یکم لیگ
BBL,Μπι Μπι Ελ,بی‌بی‌ال
NBL1 Central - Women,Εν Εν Λι Είναι - Γυναίκες,ان‌بی‌ال یک - زنان
1. A SKL,1. Α ΣΚΛ,۱. آ اس‌کی‌ال
Euroleague,Ευρωλιγκ,اروپا لیگ
World Cup Qualification - Americas,Παγκόσμια Κυπέλλου Προκριματισμού - Αμερική,کشورهای منطقه امریکا برای کشف نهائی قهرمانی جهان
Coupe de France - Women,Κουπ ντε Φρανς - Γυναίκες,کوپ دو فرانس - زنان
Korisliiga - Women,Κορισλιίγκα - Γυναίκες,کوریسلیگا - زنان
A1,Α1,آ ۱
1. Liga,1. Λίγκα,۱. لیگا
Int. Friendly Games,Διεθνείς Φιλικές Αγώνες,بازی‌های دوستانه ملی
Liga Nationala,Λίγκα Νατιονάλα,لیگا ناسیونالا
KLS,ΚΕΛΕΣ,کی اِل اس
Eurocup - Women,Ευροκάπ - Γυναίκες,اوروکاپ - ویمن
