id,name,region,sport,sport_id,region_id
10243,J3 League,Japan,Soccer,1,497
11597,Viareggio Cup,International,Soccer,1,490
10060,Campeonato Acreano,Brazil,Soccer,1,458
10322,League Cup,Scotland,Soccer,1,527
10168,Super League 1,Greece,Soccer,1,482
10068,Primera B,Chile,Soccer,1,463
9995,Copa Argentina,Argentina,Soccer,1,447
11418,Vietnam Cup,Vietnam,Soccer,1,545
10346,Tercera Federacion - Group 4,Spain,Soccer,1,532
12100,U20 Gaucho - Serie A1,Brazil,Soccer,1,458
12080,Supercup,Egypt,Soccer,1,472
11071,First Division,Ireland,Soccer,1,492
10371,Super League,Switzerland,Soccer,1,534
10102,Championship,England,Soccer,1,474
11004,Premier League,Senegal,Soccer,1,575
10389,Premier League,Ukraine,Soccer,1,540
10022,Super Cup,Belarus,Soccer,1,453
10010,OFB Cup,Austria,Soccer,1,449
10360,Tercera Federacion - Group 18,Spain,Soccer,1,532
11460,Premier Division - Women,Ireland,Soccer,1,492
10033,Carioca,Brazil,Soccer,1,458
11103,Copa de SM La Reina,Spain,Soccer,1,532
10366,Division 2 - Sodra Svealand,Sweden,Soccer,1,533
11005,US Open Cup,USA,Soccer,1,543
11323,Copa de la Liga,Argentina,Soccer,1,447
10892,Copa Division Profesional,Bolivia,Soccer,1,455
10205,Club Friendly Games,International,Soccer,1,490
11290,Prva Liga,Serbia,Soccer,1,528
10331,1. League Women,Slovakia,Soccer,1,529
10210,U17 European Championship Qualification,International,Soccer,1,490
10367,Svenska Cup,Sweden,Soccer,1,533
10082,3rd Division,Cyprus,Soccer,1,468
10396,Primera Division,Venezuela,Soccer,1,544
10115,Isthmian League - Pr. Div,England,Soccer,1,474
10328,2. Liga,Slovakia,Soccer,1,529
10399,FAW Welsh Cup,Wales,Soccer,1,546
10347,Tercera Federacion - Group 5,Spain,Soccer,1,532
10035,Baiano,Brazil,Soccer,1,458
10395,MLS Preseason,USA,Soccer,1,543
10199,UEFA Champions League,International,Soccer,1,490
12006,CONCACAF Gold Cup,International,Soccer,1,490
10128,Liigacup,Finland,Soccer,1,476
11308,Africa Cup of Nations - Qualification,International,Soccer,1,490
10044,Copa do Nordeste,Brazil,Soccer,1,458
11620,II Lyga,Lithuania,Soccer,1,550
10304,Stars League,Qatar,Soccer,1,520
10143,Oberliga NOFV North,Germany,Soccer,1,479
10338,LaLiga 2,Spain,Soccer,1,532
10078,Prva NL,Croatia,Soccer,1,467
10219,Premier League,Israel,Soccer,1,493
10214,U20 AFC Asian Cup,International,Soccer,1,490
11348,U21 European Championship,International,Soccer,1,490
11021,Qatar Cup,Qatar,Soccer,1,520
11347,Copa Sudamericana,International,Soccer,1,490
10372,Challenge League,Switzerland,Soccer,1,534
10112,The FA Women's Super League,England,Soccer,1,474
10077,Croatian Cup,Croatia,Soccer,1,467
10144,Oberliga Westfalen,Germany,Soccer,1,479
10181,1. deild,Iceland,Soccer,1,487
10262,Eerste Divisie,Netherlands,Soccer,1,506
11704,Leagues Cup,International,Soccer,1,490
10088,MSFL,Czech Republic,Soccer,1,469
10257,Liga MX - Clausura,Mexico,Soccer,1,505
10142,Oberliga BW,Germany,Soccer,1,479
10091,1. Division,Denmark,Soccer,1,470
10943,Football National League,Russia,Soccer,1,523
11765,NPL 2 - Victoria,Australia,Soccer,1,448
10296,III Liga - Group 1,Poland,Soccer,1,518
9992,Copa Constitucio,Andorra,Soccer,1,446
11364,Persha Liga,Ukraine,Soccer,1,540
9994,Primera Nacional,Argentina,Soccer,1,447
10193,African Nations Championship,International,Soccer,1,490
10140,3. Liga,Germany,Soccer,1,479
10325,Reserve League,Scotland,Soccer,1,527
10174,Liga Nacional. Clausura,Honduras,Soccer,1,484
10207,UEFA Europa Conference League,International,Soccer,1,490
10203,CONCACAF Champions League,International,Soccer,1,490
10306,K-League 2,Republic of Korea,Soccer,1,521
11363,Ettan - Sodra,Sweden,Soccer,1,533
10297,Liga Portugal,Portugal,Soccer,1,519
10288,Liga Panamena de Futbol - Apertura,Panama,Soccer,1,514
10079,1st Division,Cyprus,Soccer,1,468
10270,Championship,Northern Ireland,Soccer,1,509
10278,2nd Division Group 1,Norway,Soccer,1,511
10054,Piauiense,Brazil,Soccer,1,458
10220,Israel Cup,Israel,Soccer,1,493
10287,West Bank League,Palestine,Soccer,1,513
10374,Promotion League,Switzerland,Soccer,1,534
11196,FA Cup,Malaysia,Soccer,1,503
10369,Svenska Cup Women,Sweden,Soccer,1,533
10111,FA Trophy,England,Soccer,1,474
10206,Atlantic Cup,International,Soccer,1,490
10034,Paulista - Serie A1,Brazil,Soccer,1,458
10330,U19 1. Liga,Slovakia,Soccer,1,529
10057,Campeonato Tocantinense,Brazil,Soccer,1,458
10116,Premier League Cup,England,Soccer,1,474
10315,Kings Cup,Saudi Arabia,Soccer,1,526
11406,1 Lyga,Lithuania,Soccer,1,550
10223,Serie A,Italy,Soccer,1,494
10319,League 1,Scotland,Soccer,1,527
9996,Primera Division - Women,Argentina,Soccer,1,447
10905,Serie D - Girone B,Italy,Soccer,1,494
10314,Saudi Prof. League,Saudi Arabia,Soccer,1,526
11121,Coppa Italia Serie D,Italy,Soccer,1,494
11609,Paranaense - 2. Divisao,Brazil,Soccer,1,458
10311,Rwanda Premier League,Rwanda,Soccer,1,524
10122,Premium Liiga,Estonia,Soccer,1,475
10298,Liga Portugal 2,Portugal,Soccer,1,519
10107,National League,England,Soccer,1,474
11596,U21 UEFA European Championship - Qualification,International,Soccer,1,490
10037,Gaucho,Brazil,Soccer,1,458
10148,Regionalliga West,Germany,Soccer,1,479
10334,Premier Soccer League,South Africa,Soccer,1,531
10191,European Championship Qualification,International,Soccer,1,490
11356,Division de Honor - Clausura,Paraguay,Soccer,1,515
10913,Serie D - Girone I,Italy,Soccer,1,494
10047,Paraibano,Brazil,Soccer,1,458
10271,Irish Cup,Northern Ireland,Soccer,1,509
10208,U20 CONMEBOL Ch.ship,International,Soccer,1,490
11286,PFL - South,Russia,Soccer,1,523
10153,A-Junioren-Bundesliga N/N-E,Germany,Soccer,1,479
11273,USL League One,USA,Soccer,1,543
11216,Cup - Women,Iceland,Soccer,1,487
11420,WK-League,Republic of Korea,Soccer,1,521
10237,Ligue 1,Ivory Coast,Soccer,1,495
10049,Maranhense,Brazil,Soccer,1,458
10897,Serie D - Girone A,Italy,Soccer,1,494
11008,Morocco Cup,Morocco,Soccer,1,576
10355,Tercera Federacion - Group 13,Spain,Soccer,1,532
11042,Premier League,Kazakhstan,Soccer,1,552
