"id","name","region","sport","sport_id","region_id"
11437,ATP Challenger Santiago - Chile Men Singles,International,Tennis,3,490
10980,ATP Challenger Tenerife 3 - Spain Men Doubles,International,Tennis,3,490
11984,ITF Ecuador 01A - Women Doubles,International,Tennis,3,490
12042,ITF Japan 06A - Women Singles,International,Tennis,3,490
11096,ITF Dominican Republic 01A - Women Doubles,International,Tennis,3,490
11867,ATP Challenger Madrid - Spain Men Singles,International,Tennis,3,490
11631,ATP Challenger - Biel - Switzerland Men Singles,International,Tennis,3,490
11152,ITF France 02A - Women Singles,International,Tennis,3,490
11454,ATP Indian Wells - USA Men Singles,International,Tennis,3,490
11049,ATP Challenger Cherbourg - France Men Doubles,International,Tennis,3,490
11581,ITF Portugal F5 - Men Doubles,International,Tennis,3,490
12117,ATP Challenger Prague - Czech Republic Men Singles,International,Tennis,3,490
11907,ITF Ecuador F2 - Men Doubles,International,Tennis,3,490
11277,ITF USA F7 - Men Singles,International,Tennis,3,490
11774,WTA Charleston - USA Women Singles,International,Tennis,3,490
11148,ITF Turkey F7 - Men Singles,International,Tennis,3,490
10624,ITF Tunisia 05A - Women Singles,International,Tennis,3,490
12028,ITF Croatia 02A - Women Singles,International,Tennis,3,490
11900,ITF Egypt 11A - Women Doubles,International,Tennis,3,490
11927,ITF Indonesia F4 - Men Singles,International,Tennis,3,490
12125,WTA 125K Saint-Malo - France - Women Doubles,International,Tennis,3,490
11159,ITF Argentina F1 - Men Singles,International,Tennis,3,490
11527,ITF France F5 - Men Singles,International,Tennis,3,490
11132,Australia F2 Men Singles,International,Tennis,3,490
11973,ITF Italy 03A - Women Doubles,International,Tennis,3,490
11636,ITF Egypt F9 - Men Singles,International,Tennis,3,490
12015,ITF Georgia F1 - Men Singles,International,Tennis,3,490
11579,ITF France F5 - Men Doubles,International,Tennis,3,490
12020,ITF Turkey 16A - Women Singles,International,Tennis,3,490
11260,ITF Canada 01A - Women Singles,International,Tennis,3,490
11451,ATP Challenger Puerto Vallarta - Mexico Men Double,International,Tennis,3,490
10629,ITF USA 07A - Women Doubles,International,Tennis,3,490
11161,ITF Dominican Republic 02A - Women Singles,International,Tennis,3,490
11265,ITF Kazakhstan 01A - Women Singles,International,Tennis,3,490
12059,ITF Turkey 20A - Women Doubles,International,Tennis,3,490
11805,ITF Burundi 01A - Women Singles,International,Tennis,3,490
11189,ITF France 02A - Women Doubles,International,Tennis,3,490
11933,ATP Challenger Morelos - Mexico Men Double,International,Tennis,3,490
11610,SRL Spring Invitational Nukus - UZB,International,Tennis,3,490
11925,ATP Challenger Oeiras 3 - Portugal Men Doubles,International,Tennis,3,490
12120,ITF Great Britain 07A - Women Singles,International,Tennis,3,490
11804,ITF Spain 08A - Women Singles,International,Tennis,3,490
12032,ITF Spain 10A - Women Singles,International,Tennis,3,490
12118,ITF Serbia F2 - Men Singles,International,Tennis,3,490
11167,SRL Winter Invitational Tauranga - NZL - Women,International,Tennis,3,490
12068,ITF Tunisia F21 - Men Doubles,International,Tennis,3,490
11862,ATP Challenger Madrid - Spain Men Double,International,Tennis,3,490
12075,ITF Ecuador 02A - Women Doubles,International,Tennis,3,490
11081,ITF India 04A - Women Doubles,International,Tennis,3,490
11150,ITF Tunisia F11 - Men Singles,International,Tennis,3,490
11885,ITF Italy 02A - Women Singles,International,Tennis,3,490
11444,ATP Challenger Lugano - Switzerland Men Doubles,International,Tennis,3,490
10636,WTA Lyon - France Women Double,International,Tennis,3,490
11468,ITF Tunisia F14 - Men Doubles,International,Tennis,3,490
11571,ITF Spain F4 - Men Doubles,International,Tennis,3,490
11431,ITF France F8 - Men Singles,International,Tennis,3,490
10623,ITF Turkey 04A - Women Doubles,International,Tennis,3,490
12153,ITF Great Britain 07A - Women Doubles,International,Tennis,3,490
11320,ITF USA 09A - Women Doubles,International,Tennis,3,490
11966,ITF Italy F4 - Men Doubles,International,Tennis,3,490
12048,ITF Italy 04A - Women Singles,International,Tennis,3,490
12129,ATP Challenger Cagliari - Italy Men Singles,International,Tennis,3,490
10983,ITF Tunisia F7 - Men Doubles,International,Tennis,3,490
11067,ITF Portugal F2 - Men Singles,International,Tennis,3,490
11681,ITF Colombia F2 - Men Doubles,International,Tennis,3,490
11314,ITF Argentina 04A - Women Doubles,International,Tennis,3,490
11968,ITF Egypt F13 - Men Doubles,International,Tennis,3,490
11198,ITF Australia F2 - Men Doubles,International,Tennis,3,490
11086,ITF Portugal F2 - Men Doubles,International,Tennis,3,490
11828,ITF Egypt F11 - Men Doubles,International,Tennis,3,490
11069,ITF Spain 01A - Women Singles,International,Tennis,3,490
11871,ITF Egypt F12 - Men Singles,International,Tennis,3,490
