id,name,region,sport,sport_id,region_id
10504,1. A SKL,Slovenia,Basketball,2,530
10476,Final Eight,Italy,Basketball,2,494
10483,LKL,Lithuania,Basketball,2,550
11318,National A League,Tunisia,Basketball,2,537
10470,Champions League Americas,International,Basketball,2,490
11589,Womens National Invitation Tournament,USA,Basketball,2,543
10478,Serie B,Italy,Basketball,2,494
11506,Zweite Liga,Austria,Basketball,2,449
10510,SBL - Women,Sweden,Basketball,2,533
10515,1. Lig,Turkiye,Basketball,2,538
10442,BBL-Pokal,Germany,Basketball,2,479
10415,NBB,Brazil,Basketball,2,458
10412,Superliga - Women,Austria,Basketball,2,449
10413,BNXT Belgian League,Belgium,Basketball,2,454
10450,Urvalsdeild,Iceland,Basketball,2,487
11764,Campeonato Nacional Liga Feminina,Portugal,Basketball,2,519
10511,LNA,Switzerland,Basketball,2,534
10516,TB2L,Turkiye,Basketball,2,538
11110,NBA Rising Stars,USA,Basketball,2,543
10997,Cupa Romaniei       ,Romania,Basketball,2,522
10440,BBL,Germany,Basketball,2,479
10488,PBA - Governors Cup,Philippines,Basketball,2,517
10410,NBL1 - East,Australia,Basketball,2,448
10503,Cup,Slovakia,Basketball,2,529
10419,WCBA,China,Basketball,2,548
10522,NBA G League,USA,Basketball,2,543
10506,Copa del Rey,Spain,Basketball,2,532
11842,LBL,Latvia,Basketball,2,553
10426,NBL,Czech Republic,Basketball,2,469
10498,Premier League Women,Russia,Basketball,2,523
10490,PLKK,Poland,Basketball,2,518
10514,Super Lig - Women,Turkiye,Basketball,2,538
10424,Croatia Cup,Croatia,Basketball,2,467
11855,KML,Estonia,Basketball,2,475
10499,KLS,Serbia,Basketball,2,528
12103,FIBA World Cup,International,Basketball,2,490
10472,Super League,Israel,Basketball,2,493
11559,College Basketball Invitational,USA,Basketball,2,543
10414,1st Division,Bosnia & Herzegovina,Basketball,2,456
10404,WNBL,Australia,Basketball,2,448
10497,LNB - Women,Romania,Basketball,2,522
11556,NCAA Division I National Championship - Women,USA,Basketball,2,543
11019,Cesky Pohar,Czech Republic,Basketball,2,469
10900,Cup,Slovenia,Basketball,2,530
10455,European Championship Qualification,International,Basketball,2,490
11560,Womens Basketball Invitational,USA,Basketball,2,543
11200,BNXT League,International,Basketball,2,490
11109,Big V - Women,Australia,Basketball,2,448
10517,FBU Superleague,Ukraine,Basketball,2,540
10465,World Cup Qualification - Europe,International,Basketball,2,490
10496,Liga Nationala,Romania,Basketball,2,522
11210,Cup - Women,Romania,Basketball,2,522
11367,NBL1 West - Women,Australia,Basketball,2,448
10471,Super League,Iran,Basketball,2,491
