Bulleen Boomers,Μπουλιν Μπουμερς,بولین بومرز
Western Kentucky Lady Toppers,Γηπεδουχοι Γυναικων Ουέστερν Κάντικυ,وسترن کالی فوردی لیدی توپرز
BK Opava B,Μπι Κε Οπαβα Μπι,بیکی اوپاوا بی
Yamagata Wyverns,Γιαμαγκατα Γουεβερνς,یاماگاتا وایورنز
Taiwan Beer,Ταϊβαν Μπιρ,تایوان بیر
Kk Metalac,Κκ Μεταλακ,کک متالاک
Bulgaria,Βουλγαρία,بلغارستان
Slovenia,Σλοβενία,اسلوونی
CB San Pablo Burgos,Σι Μπι Σαν Παμπλο Μπουργκος,سیبی سان پابلو بورگوس
Elitzur Kiryat Atta,Ελιτζουρ Κιριατ Αττα,الیتزور کیریات آتا
Gaziantep Genclik,Γαζιαντέπ Γκεντσλικ,گزیانتپ قنجلیک
Orlandina Basket,Ορλαντίνα Μπασκέτ,اورلاندینا بسکت
IK Eos,ΙΚ Έος,ای کی ایوس
JL Bourg Basket,ΤζΕλ Μπουργκ Μπασκέτ,جی ال بورگ بسکت
Aranmare Akita,Αρανμάρε Ακίτα,آرانماره اکیتا
Basket Poznan,Μπασκέτ Ποζνάν,بسکت پوزنان
Benedetto Xiv Cento,Μπενενττό ΞΙΒ Κέντο,بندتو شیوتو چنتو
BC Mahdia,ΜπΙ Σι Μαχντία,بی سی مهدیه
Konyaspor,Κονιάσπορ,کونیاسپور
Qingdao Eagles,Κινγκδάο Έιγλς,قینگداو ایگلز
Nazilli Belediye,Ναζίλι Μπελεντίε,نازیللی بلدییه
Hobart Chargers,Χόμπαρτ Τσάργκερς,هوبارت چارجز
Baskonia Vitoria-Gasteiz,Μπασκόνια Βιτόρια-Γκαστείζ,باسکونیا ویتوریا-گاستیز
Southern Utah Thunderbirds,Νότια Ουτάν Θάντερμπιρδς,ساوتر یوتا تاندربیردز
CD Universidad Catolica De Santiago,ΚΔ Πανεπιστήμιο Καθολικής Σαντιάγο,سیدی یونیورسیتاد کاتولیکا ده سانتیاگو
New Taipei Kings,Νέα Ταϊπέι Κινγκς,نوو تایپی کینگز
Bakery Basket Piacenza,Μπέικερι Μπάσκετ Πιατσέντζα,بیکری باسکت پیاچنزا
North Dakota State Bison,Βόρεια Ντάκοτα Στέιτ Μπίσον,نورت داکوتا ستیت بیسون
Sunshine Coast Phoenix,Σανσάιν Κορστ Φοίνιξ,سانشاین کوآست فینیکس
Achilleas Kaimakliou,Αχίλλεας Καϊμακλίου,آچیلیاس کایماکلیو
Waverley Falcons,Γουέβερλεϊ Φάλκονς,ویورلی فالکنز
North Macedonia,Βόρεια Μακεδονία,جمهوری مجاور ماکدونی
New York Liberty,Νέα Υόρκη Λίμπερτι,لیبرتی نیویورک
Portugal,Πορτογαλία,پرتغال
BK Loko Trutnov,Μπί Κε Λόκο Τρουτνόβ,بی کی لوکو تروتنوف
Morgan State Bears,Μόργκαν Στέιτ Μπίαρς,مورگان استیت بیرز
Turkiye,Τουρκία,ترکیه
USK Prague,ΥΣΚ Πράγα,آسک پراگ
Drake Bulldogs,Ντρέικ Μπαντογκάλος,دریک بادجبالز
Donar Groningen,Ντόναρ Γκρονινγκεν,دونار گرونینگن
Southern Tigers,Σάουθερν Τίγερς,سازندهی جنوبی
Kagawa Five Arrows,Καγκάου Φάιβ Άρους,پنج تیرهی کاگاوا
Kataja Basket Joensuu,Κατάτα Μπάσκετ Τζοένσου,کاتاجا باسکت جونسو
BC Siauliai,Μπί Σιαουλάι,بیسی سیاولیای
Mets de Guaynabo,Μετς ντε Γκουαϊνάμπο,متس د گویانبو
Duquesne Dukes,Ντικς ντε Ντουκς,دوکینز دوکس
Katarzynki Torun,Καταρζίνκι Τορούν,کاترزینکی تورون
Austria,Αυστρία,اتریش
USK Prague B,ΥΣΚ Πράγα Μπι,یواسکی پراگ بی
Creighton Bluejays,Κρίτσον Μπλουζέις,کرایتون بلوجیز
Panathlitikos SF Sykeon,Παναθλητικός ΣΦ Συκεών,پاناتلیتیکوس اس اف سیکئون
Lugano Tigers,Λουγκάνο Τάιγκερς,لوگانو تایگرز
Sodertalje BBK,Σοντερτάλιε ΜπΒΚ,سودرتالجه بی بی کی
