"id","name","sport","sport_id"
108322,CA San Miguel,Soccer,1
98191,US Avellino,Soccer,1
98264,Gainare Tottori,Soccer,1
97812,FC Shinnik Yaroslavl,Soccer,1
114010,East Atlanta FC,Soccer,1
112204,Landskrona BoIS,Soccer,1
97409,ΑΟ Episkopi,Soccer,1
116982,Guarany de Bage FC,Soccer,1
95532,Um Alhassam,Soccer,1
99154,Cosmos Serravalle,Soccer,1
95186,Gimnasia Y Esgrima La Plata,Soccer,1
99132,Marines FC Gisenyi,Soccer,1
100233,Umraniyespor,Soccer,1
99269,MFK Ruzomberok,Soccer,1
97446,AS Trianton Ialysos,Soccer,1
96579,Arsenal FC,Soccer,1
97786,FK Dinamo Moscow,Soccer,1
96381,Manchester United,Soccer,1
95478,Admira Dornbirn,Soccer,1
96035,Nublense,Soccer,1
98446,Alacranes de Durango,Soccer,1
99664,Trival Valderas A.,Soccer,1
98443,Club Atletico La Paz,Soccer,1
118946,Northcote City,Soccer,1
120301,Akron City FC,Soccer,1
121133,Naples United,Soccer,1
98967,SC Beira Mar,Soccer,1
113150,NGU Loveledge Nagoya,Soccer,1
99059,Al-Sailiya SC,Soccer,1
112809,CSB Atenas,Soccer,1
99061,Incheon United FC,Soccer,1
96245,FK Motorlet Prague,Soccer,1
99888,IFK Berga,Soccer,1
105878,Bate Borisov,Soccer,1
118119,Valmiera FC II,Soccer,1
95856,Independente PA,Soccer,1
113117,Turkiye,Soccer,1
99543,Club Deportivo Eldense,Soccer,1
113653,South Hobart FC,Soccer,1
95290,Sydney FC,Soccer,1
108323,CA Talleres de Remedios,Soccer,1
118997,Chimbarongo,Soccer,1
108355,Naftan Novopolotsk,Soccer,1
97834,AFC Eskilstuna,Soccer,1
113899,Long Island Rough Riders,Soccer,1
98608,Managua FC,Soccer,1
100038,Polisi Tanzania FC,Soccer,1
96935,Hallescher FC,Soccer,1
100254,Genclerbirligi Ankara,Soccer,1
98812,Taraji Wadi Al-Nes,Soccer,1
97030,Bischofswerdaer FV 1908,Soccer,1
97088,Werder Bremen III,Soccer,1
100322,Liverpool Montevideo,Soccer,1
96799,Vierzon FC,Soccer,1
115776,Barcelona Esportivo Capela SP,Soccer,1
121237,Haukiputaan Pallo,Soccer,1
117084,First State FC,Soccer,1
95692,EC Sao Luiz RS,Soccer,1
106171,Dakkada International FC,Soccer,1
113710,Haugesund,Soccer,1
