"Jaruskova, Timea",Τίμεα Τζαρούσκοβα,جاروسکووا، تیمه
Fuchs L / Schaeder L,Φουχς Λ / Σαχέντερ Λ,فوش لی / شادر لی
"Schmitt, Aurelien","Σμίτ, Αυρελιέν",شمیت، آورلین
"Andrejic, Marko","Αντρεζικ, Μάρκο",آندرجیچ، مارکو
Cabrera M A / Vasser O,Καμπρέρα Μ Α / Βάσερ Ο,کابریرا ام ای / واسر او
"Niermann, Nele","Νιερμάν, Νελέ",نیرمان، نله
Back F / Otzipka J,Μπακ Φ / Οτζίπκα Τζ.,بک فی / اوتزیپکا جی
"Vorfolomeev, Ivan","Βορφολομέεβ, Ιβάν",وورفولومیوو، ایوان
"Ambler, Casey","Άμπλερ, Κέισι",امبلر، کیسی
"Aryanpour, Pooya","Αριανπούρ, Ποόγα",آریانپور، پویا
"Mireles Jimenez, Raul","Μιρέλες Τζιμένεζ, Ραούλ",میرلس جیمنز، رائول
"Pinto Goncalves, Martim","Πίντο Γκονκάλβες, Μάρτιμ",پینتو گونکالوز، مارتیم
"Porras Buezo, Valeria","Πορράς Μπουέζο, Βαλέρια",پوراس بوئزو، والریا
Abduraimova N / Wagner A,Αμπντουραίιμοβα Ν / Γκάγκερ Α,آبدورایمووا ن / واگنر، آ
"Kalyakina, Maria","Καλιάκινα, Μαρία",کالیاکینا، ماریا
Purcell M / Thompson J,Πέρσελ Μ / Τόμπσον Τζ.,پورسل م / تامپسون ج
"Bigonesse, Philippe-Elliott Spencer","Μπιγκονέσε, Φιλιπ-Έλιοτ Σπένσερ",بیگونس، پیلیپ-الیوت سپنسر
"Caldes, Jaime","Κάλντες, Τζαίμε",کالدس، جایمه
Hogue E / Lee L,Χόγκε Ε / Λι Λ,هوگ ئی / لی ل
"Luca, Alexandru","Λούκα, Αλεξάντρου",لوکا، آلکساندرو
"Fernandez, Bianca Jolie","Φερνάντεζ, Μπιάνκα Τζόλι",فرناندز، بیانکا جولی
"Cline, Leela","Κλάιν, Λίλα",کلاین، لیلا
"Samardzic, Matija","Σαμαρντζίτς, Ματίγια",ساماردزیچ، ماتیجا
"Yadav, Radhika","Γιαντάβ, Ραντίκα",یادو، رادهیکا
Kazionova E / Mikhaylova V,Καζιόνοβα Ε / Μιχαγίλοβα Β,کازیونووا ای / میخایلووا وی
"Roberts, Justin","Ρόμπερτς, Τζάστιν",رابرتس، جاستین
Gulia G / Rawat S,Γκουλία Γ / Ράγουατ Σ,گولیا جی / راوات اس
Lazaro Garcia A / Rosatello C,Λαζάρο Γκαρσία Α / Ροσατέλο Κ,لازارو گارسیا ای / روساتلو کا
Gonzales R / Lawson A,Γκονζάλες Ρ / Λόουσον Α,گونزالز ری / لاسون ای
"Summers, Matthew","Σάμμερς, Μάτθας",سامرز، متیو
"Humpfner, Kevin","Χαμπφνερ, Κηβιν",هامفنر، کیون
Dadabaev A / Ibrakhimov R,Ντανταμπαεφ Α / Ιμπραχιμοφ Ρ,دادابایو / ابراخیموف
Costoulas S / Cross K,Κοστουλας Σ / Κρος Κ,کوستوولاس / کراس
Khomutsianskaya D / Pridankina E,Χομουτσιανσκαγια Ν / Πριντανκινα Ε,خوموتسیانسکایا / پریدانکینا
"Kvitova, Petra","Κβιτοβα, Πετρα",کویتووا، پترا
"Saito, Sakura","Σαιτο, Σακουρα",سایتو، ساکورا
"Jimenez Kasintseva, Victoria","Τζιμενεζ Κασιντσεβα, Βικτορια",جیمنز کاسینتسوا، ویکتوریا
Goransson A / McLachlan B,Γκορανσσον Α / ΜακΛαχλαν Β,گورانسون / مکلاچلن
"Lehmann, Nikos","Λεχμαν, Νικος",لهمان، نیکوس
"Chaiyarin, Credit","Χαιγιαριν, Κρεδιτ",چایارین، کریدیت
Eikeri U / Rosolska A,Είκερι Ου / Ροσόλσκα Α,ایکری یو / روسولسکا ای
"Vial, Romain","Βιαλ, Ρομέν",ویال، رومین
Descotte M F / Tomic B,Ντεσκόττε Μ Φ / Τόμικ Μπ,دسکوت م ف / تومیک بی
"Leon, Ethan","Λεον, Έθαν",لئون، اتان
Mohamed H / Rakotomanga Rajaonah T S,Μοχάμεντ Χ / Ρακοτομάνγκα Ραζαόναχ Τ Σ,محمد ه / راکوتومانگا راجاوناه ت اس
Franco T / Salazar D,Φράνκο Τ / Σαλαζάρ Ντ,فرانکو تی / سالازار دی
Aparisi Gonzalez-Vallarino C / Aranzabal N,Απαρίσι Γκονζάλες-Βαλαρίνο Κ / Αρανζάμπαλ Ν,آپاریسی گونزالس-والارینو سی / آرانزابال نی
Ovcharenko O / Picchione A,Οβτσαρένκο Ο / Πιτσιόνε Α,اووچارنکو او / پیچیونه ای
Motti A / Oradini G,Μόττι Α / Οραντίνι Γ,موتی ای / اورادینی جی
"Odorizzi, Caterina","Οντορίζι, Κατερίνα",اودوریزی، کاترینا
"Ratkovic, Divna","Ρατκοβιτς, Διβνα",راتکوویچ، دیونا
Juric N / Znuderl A,Γιουριτς Ν / Ζνουντερλ Α,جوریچ ن / زنودرل ا
Saritas G / Turker M N,Σαριτας Γ / Τουρκερ Μ Ν,ساریتاس گ / تورکر م ن
Godsick N / O Hoisin O,Γκοντσικ Ν / Ο Χοισιν Ο,گادسیک ن / او هویسین او
"Maslenkova, Milana","Μασλενκοβα, Μιλανα",ماسلنکووا، میلانا
"Montes, Jimena","Μοντες, Τζιμενα",مونتس، جیمنا
"Duerst, Jenny","Ντουερστ, Τζεννυ",دورست، جنی
Lin W-D / Shiraishi H,Λιν Ο-Ντ / Σιραισι Χ,لین و-د / شیراشیسی ه
"Badman, Danielle","Μπαντμαν, Δανιελ",بادمن، دانیل
"Calzi, Raphael","Καλζι, Ραφαελ",کالزی، رافایل
"Kovapitukted, Punnin","Κοβαπίτουκτεν, Παννίν",کوواپیتوکتد، پونین
Frahn M / Lau J,Φραν Μ / Λαου Τζ,فران م / لاو جی
"Mickoska, Sara","Μίκοσκα, Σάρα",میکوسکا، سارا
"Bonet Molas, Sergi","Μπονετ Μολάς, Σεργκί",بونت مولاس، سرجی
"Singh, Jagmeet","Σίνγκ, Τζαγκμίτ",سینگ، جگمیت
Ksandinov S / Niimi K,Κσαντινόβ Σ / Νιίμι Κ,کسدینوو س / نییمی کی
"Murthy, Anya","Μάρθι, Άνια",مورتی، آنیا
Stamatova J / Wildgruber A,Σταματόβα Τζ / Βίλτγκρουμπερ Α,استاماتووا جی / ویلدگروبر آ
"Beale, Jeremy","Μπίιλ, Τζέρεμι",بیل، جرمی
Forejtek J / Kwiatkowski T,Φορεζτεκ Τζ / Κβιατκόφσκι Τ,فورجتک جی / کویاتکووسکی تی
"Pegula, Jessica (Srl)","Πεγκούλα, Τζέσικα (Σρλ)",پیگولا، جزیسا (اسآرال)
"Dong, Bohua","Ντονγκ, Μπουχάουα",دونگ، بوهوآ
"Haliak, Mikalai","Χαλιάκ, Μικάλαι",هالیاک، میکالای
"Leguizamon, Bautista","Λεγκιζάμον, Μπαουτίστα",لگویزامون، بوتیستا
"Stankovic, Anja","Στανκοβιτς, Άνια",استانکوویچ، آنجا
"Nakagawara, Rin","Νακαγκαγουάρα, Ριν",ناکاگوارا، رین
"Bettini, Filippo","Μπετίνι, Φιλίππο",بتینی، فیلیپو
Rogers A / Tjandramulia O,Ρότζερς Α / Τιαντραμουλία Ο,راجرز ا / تجاندرامولیا او
"Abildayeva, Taira","Αμπιλνταγιέβα, Ταίρα",آبیلدایوا، تایرا
"Huang, Tsung-Hao","Χουάνγκ, Τσουνγκ-Χάου",هوانگ، تسونگ-هائو
Schenekenberg G / Schiessl J E,Σενεκενμπεργκ Γ / Σιεσλ Τζ Ε,شنکنبرگ گ / شیسل جی ای
"Duda, Filip","Ντούντα, Φίλιπ",دودا، فیلیپ
Babic Z / Bergevi F,Μπάμπιτς Ζ / Μπεργκεβί Φ,بابیچ ز / برگوی ف
"Braga, Victor","Μπράγκα, Βίκτορ",براگا، ویکتور
Brady P / Jones A,Μπρέιτι Π / Τζόουνς Α,بریدی پی / جونز آ
Aranzabal M / Martinez Arjona S,Αρανζαμπάλ Μ / Μαρτίνεζ Αρχόνα Σ,آرانزابال م / مارتینز آرخونا س
"Kono, Shimon","Κόνο, Σίμον",کونو، شیمون
"Dart, Harriet","Ντάρτ, Χάριετ",دارت، هاریت
Bonaventure Y / Bronzetti L,Μποναβεντούρα Γ / Μπρονζέττι Λ,بوناونچور ی / برونزتی ل
Ferri L / Orlov A,Φέρρι Λ / Όρλοφ Α,فری ل / اورلو آ
Saigo R / Saigo Y,Σαιγκό Ρ / Σαιγκό Υ,سایگو آر / سایگو ی
van Der Hoek R / Wu F-H,φαν Ντερ Χόεκ Ρ / Γου Φ-Χ,وان در هوک آر / وو اف-اچ
Basic N / Markovski O,Μπάσικ Ν / Μαρκόβσκι Ο,بزیک ن / مارکوفسکی او
"Novak, Dennis","Νόβακ, Δένις",نوواک، دنیس
Puttergill C / Walton A,Πάτεργκιλ Κ / Γουάλτον Α,پاترگیل سی / والتون ای
"Mostallino, Francesca","Μοσταλινό, Φραντσέσκα",موستالینو، فرانسهسکا
Sidorov N / Yerdilda Y,Σιντόροφ Ν / Γιερντίλντα Υ,سیدوروف ن / یردیلدا ی
Escobar G / Hidalgo D,Έσκομπαρ Γ / Ινταλγκό Δ,اسکوبار گی / هیدالگو دی
"Govortsova, Olga","Γκοβόρτσοβα, Όλγα",گوورتسووا، اولگا
Jimenez Kasintseva V / Zarazua R,Τζιμένεζ Κασίντσεβα Β / Ζαράζουα Ρ,جیمنز کاسینتسووا و / زارازوآ ر
Panova A / Sizikova Y,Πανόβα Α / Σιζίκοβα Γ,پانووا ای / سیزیکووا یا
Bhangdia J / Fernandez Flores D,Μπανγκντία Τζ / Φερνάντεζ Φλόρες Δ,بهنگدیا جی / فرناندز فلورز دی
Ersoz V / Ostlund F,Έρσοζ Β / Όστλουντ Φ,ارسوز وی / استلوند فا
"Medvedev, Daniil","Μεντβέντεφ, Δανίιλ",مدودئووئ، دانیل
"Barlini Pischedda, Anna","Μπαρλίνι Πισσέντα, Άνα",بارلینی پیشچدا، آنا
Rajmohan N / Sadiq S,Ρατζμόχαν Ν / Σαντίκ Σ,رجموهان نی / صادیق سی
"Villard, Niels","Βιλάρντ, Νιέλς",ویلارد، نیلز
Carballes Baena R / Landaluce M,Καρμπάλες Μπαένα Ρ / Λανταλούτσε Μ,کاربالئز بانا ری / لاندالووئ ما
"Abukusumo, Abasi","Αμπουκούσομο, Αμπάσι",آبوکوسومو، آباسی
"Kravec, Vladimir","Κράβετς, Βλαντίμιρ",کراوئ، ولادیمیر
"Pobes, Eduardo","Πόμπες, Έδουαρντο",پوبز، ادواردو
Casares M E / Guerrero Barberan V,Κασάρες Μ Ε / Γκεράρο Μπαρμπεράν Β,کاسارس م ای / گراورو باربران وی
