0,1
Albania,[Αλβανία]
Algeria,[Αλγερία]
Andorra,[Ανδόρρα]
Argentina,['Αργεντινή']
Australia,['Αυστραλία']
Austria,['Αυστρία']
Azerbaijan,[Αζερμπαϊτζάν]
Bahrain,[Μπαχρέιν]
Bangladesh,[Βανγκλαντές]
Belarus,['Λευκορωσία']
Belgium,['Βέλγιο']
Bolivia,['Βολιβία']
Bosnia & Herzegovina,['Βοσνία & Ερζεγοβίνη']
Botswana,[Μποτσουάνα]
Brazil,['Βραζιλία']
Bulgaria,['Βουλγαρία']
Burundi,[Μπουρούντι]
Cameroon,['Καμερούν']
Canada,['Καναδάς']
Chile,[Χιλή]
Colombia,[Κολομβία]
Congo,[Κονγκό]
Costa Rica,[Κόστα Ρίκα]
Croatia,'Κροατία'
Cyprus,[Κύπρος]
Czech Republic,'[Δημοκρατία της Τσεχίας]'
Denmark,[Δανία]
Ecuador,[Εκουαδόρ]
Egypt,['Αίγυπτος']
El Salvador,['Ελ Σαλβαδόρ']
England,[Η Αγγλία]
Estonia,['Εσθονία']
Finland,['Φινλανδία']
France,['Γαλλία']
Georgia,[Γεωργία]
Germany,['Γερμανία']
Ghana,[Γκάνα]
Gibraltar,[Γιβραλτάρ]
Greece,['Ελλάδα']
Guatemala,[Γουατεμάλα]
Honduras,[Ονδούρας]
"Hong Kong, China","['Χονγκ Κονγκ, Κίνα']"
Hungary,['Ουγγαρία']
Iceland,['Ισλανδία']
India,['Ινδία']
Indonesia,[Ινδονησία]
International,['Διεθνές']
Iran,['Ιράν']
Ireland,['Ιρλανδία']
Israel,['Ισραήλ']
Italy,['Ιταλία']
Ivory Coast,[Ακτή Ελεφαντοστού]
Jamaica,[Τζαμάικα]
Japan,['Ιαπωνία']
Kenya,[Κένυα]
Kosovo,[Κοσοβό]
Kuwait,[Κουβέιτ]
Lebanon,[Λίβανος]
Luxembourg,[Λουξεμβούργο]
Malaysia,['Μαλαισία']
Malta,[Μάλτα]
Mexico,['Μεξικό']
Netherlands,['Ολλανδία']
Nicaragua,['Νικαράγουα']
Nigeria,'Νιγηρία'
Northern Ireland,[Βόρεια Ιρλανδία]
North Macedonia,['Βόρεια Μακεδονία']
Norway,['Νορβηγία']
Oman,['Ομάν']
Palestine,'[Παλαιστίνη]'
Panama,['Παναμάς']
Paraguay,['Παραγουάη']
Peru,[Περού]
Philippines,[Φιλιππίνες]
Poland,['Πολωνία']
Portugal,[Πορτογαλία]
Qatar,'[Κατάρ]'
Republic of Korea,'Δημοκρατία της Κορέας'
Romania,['Ρουμανία']
Russia,['Ρωσία']
Rwanda,[Ρουάντα]
San Marino,['Σαν Μαρίνο']
Saudi Arabia,['Σαουδική Αραβία']
Scotland,['Σκωτία']
Serbia,[Σερβία]
Slovakia,['Σλοβακία']
Slovenia,['Σλοβενία']
South Africa,['Νότια Αφρική']
Spain,['Ισπανία']
Sweden,['Σουηδία']
Switzerland,['Ελβετία']
Tanzania,['Τανζανία']
Thailand,[Ταϊλάνδη]
Tunisia,['Τυνησία']
Turkiye,['Τουρκία']
Uganda,[Ουγκάντα]
Ukraine,['Ουκρανία']
Uruguay,[Ουρουγουάη]
USA,['ΗΠΑ']
Venezuela,[Βενεζουέλα]
Vietnam,[Βιετνάμ]
Wales,['Ουαλία']
Zambia,[Ζάμπια]
China,['Κίνα']
Chinese Taipei,[Ταϊπέι Κίνας]
Lithuania,[Λιθουανία]
New Zealand,'[Νέα Ζηλανδία]'
Kazakhstan,[Καζακστάν]
Latvia,[Λετονία]
North America,['Βόρεια Αμερική']
Pakistan,['Πακιστάν']
Angola,[Αγκόλα]
Ethiopia,['Αιθιοπία']
Singapore,['Σιγκαπούρη']
Myanmar,[Μιανμάρ]
Europe,['Ευρώπη']
Liberia,['Λιβερία']
Iraq,['Ιράκ']
Africa,['Αφρική']
Montenegro,[Μαυροβούνιο]
Armenia,Αρμενία
Gambia,['Γκάμπια']
Seychelles,'Σεϋχέλλες'
Mali,['Μάλι']
Togo,['Τόγκο']
Cambodia,['Καμπότζη']
Sierra Leone,['Σιέρρα Λεόνε']
Asia,['Ασία']
Syria,[Συρία]
Nepal,[Νεπάλ]
Senegal,['Σενεγάλη']
Morocco,[Μαρόκο]
Montenegro,[Μαυροβούνιο]
Armenia,['Αρμενία']
Barbados,[Μπαρμπάντος]
Puerto Rico,[Πουέρτο Ρίκο]
Uzbekistan,[Ουζμπεκιστάν]
Zanzibar,[Ζαντζιμπάρ]
Moldova,['Μολδαβία']
Faroe Islands,['Νησιά Φαροε']
Liechtenstein,[Λιχτενστάιν]
Zimbabwe,['Ζιμπάμπουε']
Tajikistan,['Τατζικιστάν']
SRL Matches,[Αγώνες SRL]
Antigua and Barbuda,[Αντίγουα και Μπαρμπούντα]
Esoccer,[Εσούσερ]
Turkey,['Τουρκία']
Hong Kong,[Χονγκ Κονγκ]
Dominican Republic,'[Δομινικανή Δημοκρατία]'
South Korea,['Νότια Κορέα']
Taiwan,[Ταϊβάν]
Mozambique,[Μοζαμβίκη]
UAE,[ΗΠΑΕ]
